[2024-08-16T18:07:59.979052Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Initiating pyFlow run
[2024-08-16T18:07:59.981005Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2024-08-16T18:07:59.981794Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pyFlowVersion: 1.1.20
[2024-08-16T18:07:59.982553Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] pythonVersion: 2.7.12.final.0
[2024-08-16T18:07:59.983250Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] WorkingDir: '/coh_labs/dits/rayyan/Projects/GATK-pipeline/GATK_somatic'
[2024-08-16T18:07:59.983956Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] ProcessCmdLine: '/coh_labs/dits/rayyan/Data/C083-000002/AnalysisData_TumorDNA/runWorkflow.py --mode local --jobs 8'
[2024-08-16T18:07:59.984763Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] mode: local
[2024-08-16T18:07:59.985526Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] nCores: 8
[2024-08-16T18:07:59.986313Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] memMb: 515437
[2024-08-16T18:07:59.987026Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] dataDir: /coh_labs/dits/rayyan/Data/C083-000002/AnalysisData_TumorDNA/workspace/pyflow.data
[2024-08-16T18:07:59.987808Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2024-08-16T18:07:59.988580Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isContinue: False
[2024-08-16T18:07:59.989348Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2024-08-16T18:07:59.990129Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2024-08-16T18:07:59.991303Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2024-08-16T18:07:59.992280Z] [g-c-1-4-05.cm.cluster] [2114669_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: 2.9.10
[2024-08-16T18:08:00.045053Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_057_chr22_KI270731v1_random_to_058_chr22_KI270732v1_random' to master workflow
[2024-08-16T18:08:00.046694Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_059_chr22_KI270733v1_random' to master workflow
[2024-08-16T18:08:00.047598Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_060_chr22_KI270734v1_random' to master workflow
[2024-08-16T18:08:00.048486Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_061_chr22_KI270735v1_random' to master workflow
[2024-08-16T18:08:00.050164Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_062_chr22_KI270736v1_random' to master workflow
[2024-08-16T18:08:00.051015Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_063_chr22_KI270737v1_random' to master workflow
[2024-08-16T18:08:00.052898Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_064_chr22_KI270738v1_random_to_065_chr22_KI270739v1_random' to master workflow
[2024-08-16T18:08:00.053982Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_066_chrY_KI270740v1_random_to_090_chrUn_KI270429v1' to master workflow
[2024-08-16T18:08:00.054966Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_091_chrUn_KI270442v1' to master workflow
[2024-08-16T18:08:00.055805Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_092_chrUn_KI270466v1_to_095_chrUn_KI270435v1' to master workflow
[2024-08-16T18:08:00.056765Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_096_chrUn_KI270438v1_to_103_chrUn_KI270512v1' to master workflow
[2024-08-16T18:08:00.057800Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_104_chrUn_KI270519v1_to_113_chrUn_KI270539v1' to master workflow
[2024-08-16T18:08:00.059045Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_114_chrUn_KI270538v1_to_125_chrUn_KI270582v1' to master workflow
[2024-08-16T18:08:00.060110Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_126_chrUn_KI270588v1_to_167_chrUn_KI270521v1' to master workflow
[2024-08-16T18:08:00.060975Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_168_chrUn_GL000195v1' to master workflow
[2024-08-16T18:08:00.061848Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_169_chrUn_GL000219v1' to master workflow
[2024-08-16T18:08:00.062976Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_170_chrUn_GL000220v1' to master workflow
[2024-08-16T18:08:00.064046Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_171_chrUn_GL000224v1' to master workflow
[2024-08-16T18:08:00.064969Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_172_chrUn_KI270741v1_to_173_chrUn_GL000226v1' to master workflow
[2024-08-16T18:08:00.065976Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_174_chrUn_GL000213v1' to master workflow
[2024-08-16T18:08:00.066930Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_175_chrUn_KI270743v1' to master workflow
[2024-08-16T18:08:00.067880Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_176_chrUn_KI270744v1' to master workflow
[2024-08-16T18:08:00.069006Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_177_chrUn_KI270745v1_to_178_chrUn_KI270746v1' to master workflow
[2024-08-16T18:08:00.070274Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_179_chrUn_KI270747v1' to master workflow
[2024-08-16T18:08:00.071191Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_180_chrUn_KI270748v1' to master workflow
[2024-08-16T18:08:00.072189Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_181_chrUn_KI270749v1' to master workflow
[2024-08-16T18:08:00.073207Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_182_chrUn_KI270750v1' to master workflow
[2024-08-16T18:08:00.074072Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_183_chrUn_KI270751v1_to_184_chrUn_KI270752v1' to master workflow
[2024-08-16T18:08:00.075065Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_185_chrUn_KI270753v1_to_187_chrUn_KI270755v1' to master workflow
[2024-08-16T18:08:00.076223Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_188_chrUn_KI270756v1_to_189_chrUn_KI270757v1' to master workflow
[2024-08-16T18:08:00.077063Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_190_chrUn_GL000214v1' to master workflow
[2024-08-16T18:08:00.078455Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_191_chrUn_KI270742v1' to master workflow
[2024-08-16T18:08:00.079554Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_192_chrUn_GL000216v2' to master workflow
[2024-08-16T18:08:00.080760Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_193_chrUn_GL000218v1' to master workflow
[2024-08-16T18:08:00.082177Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_194_chr1_KI270762v1_alt' to master workflow
[2024-08-16T18:08:00.083178Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_195_chr1_KI270766v1_alt' to master workflow
[2024-08-16T18:08:00.084126Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_196_chr1_KI270760v1_alt' to master workflow
[2024-08-16T18:08:00.085141Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_197_chr1_KI270765v1_alt' to master workflow
[2024-08-16T18:08:00.086048Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_198_chr1_GL383518v1_alt' to master workflow
[2024-08-16T18:08:00.087082Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_199_chr1_GL383519v1_alt' to master workflow
[2024-08-16T18:08:00.087945Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_200_chr1_GL383520v2_alt' to master workflow
[2024-08-16T18:08:00.088843Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_201_chr1_KI270764v1_alt' to master workflow
[2024-08-16T18:08:00.089720Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Completed command task: 'getChromDepth_makeTmpDir' launched from master workflow
[2024-08-16T18:08:00.090501Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_202_chr1_KI270763v1_alt' to master workflow
[2024-08-16T18:08:00.091494Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_203_chr1_KI270759v1_alt' to master workflow
[2024-08-16T18:08:00.092334Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskManager] Launching command task: 'getChromDepth_sample000_makeTmpDir' from master workflow
[2024-08-16T18:08:00.093266Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_204_chr1_KI270761v1_alt' to master workflow
[2024-08-16T18:08:00.094208Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_205_chr2_KI270770v1_alt' to master workflow
[2024-08-16T18:08:00.095479Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_206_chr2_KI270773v1_alt' to master workflow
[2024-08-16T18:08:00.096437Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_207_chr2_KI270774v1_alt' to master workflow
[2024-08-16T18:08:00.098522Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_208_chr2_KI270769v1_alt' to master workflow
[2024-08-16T18:08:00.099822Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_209_chr2_GL383521v1_alt' to master workflow
[2024-08-16T18:08:00.102013Z] [g-c-1-4-05.cm.cluster] [2114669_1] [TaskRunner:getChromDepth_sample000_makeTmpDir] Task initiated on local node
[2024-08-16T18:08:00.102879Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_210_chr2_KI270772v1_alt' to master workflow
[2024-08-16T18:08:00.103878Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_211_chr2_KI270775v1_alt' to master workflow
[2024-08-16T18:08:00.104974Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_212_chr2_KI270771v1_alt' to master workflow
[2024-08-16T18:08:00.105939Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_213_chr2_KI270768v1_alt' to master workflow
[2024-08-16T18:08:00.107104Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_214_chr2_GL582966v2_alt' to master workflow
[2024-08-16T18:08:00.108332Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_215_chr2_GL383522v1_alt' to master workflow
[2024-08-16T18:08:00.109297Z] [g-c-1-4-05.cm.cluster] [2114669_1] [WorkflowRunner] Adding command task 'getChromDepth_sample000_estimateChromDepth_216_chr2_KI270776v1_alt' to master workflow
